paper_id,authors,decision
34,"Chulhee Yun, Suvrit Sra, Ali Jadbabaie",Accept (Poster)
35,"Chulhee Yun, Suvrit Sra, Ali Jadbabaie",Accept (Poster)
36,Sebastian Stich,Accept (Poster)
37,"Matthew Riemer, Ignacio Cases, Robert Ajemian, Miao Liu, Irina Rish, Yuhai Tu, and Tesauro",Accept (Poster)
38,"Joern-Henrik Jacobsen, Jens Behrmann, Richard Zemel, Matthias Bethge",Accept (Poster)
39,"Ilya Loshchilov, Frank Hutter",Accept (Poster)
40,"Haohan Wang, Zexue He, Zachary Lipton, Eric Xing",Accept (Oral)
41,"David Pfau, Stig Petersen, Ashish Agarwal, David Barrett, Kimberly Stachenfeld",Accept (Poster)
42,"Alexander Ecker, Fabian Sinz, Emmanouil Froudarakis, Paul Fahey, Santiago Cadena, Edgar Walker, Erick Cobos, Jacob Reimer, Andreas Tolias, Matthias Bethge",Accept (Poster)
43,"Thomas Miconi, Aditya Rawal, Jeff Clune, Kenneth Stanley",Accept (Poster)
44,"Curtis Hawthorne, Andriy Stasyuk, Adam Roberts, Ian Simon, Cheng-Zhi Huang, Sander Dieleman, Erich Elsen, Jesse Engel, Douglas Eck",Accept (Oral)
45,"Haggai Maron, Heli Ben-Hamu, Nadav Shamir, Yaron Lipman",Accept (Poster)
46,"Stephen McAleer, Forest Agostinelli, Alexander Shmakov, Pierre Baldi",Accept (Poster)
47,"Xinyun Chen, Chang Liu, Dawn Song",Accept (Poster)
48,"Sebastian Flennerhag, Pablo Moreno, Neil Lawrence, Andreas Damianou",Accept (Oral)
49,"Sanjeev Arora, Zhiyuan Li, Kaifeng Lyu",Accept (Poster)
50,"Honghua Dong, Jiayuan Mao, Tian Lin, Chong Wang, Lihong Li, Denny Zhou",Accept (Poster)
51,"Jiayuan Mao, Chuang Gan, Pushmeet Kohli, Joshua Tenenbaum, Jiajun Wu",Accept (Oral)
52,"Yandong Wen, Mahmoud Ismail, Weiyang Liu, Bhiksha Raj, Rita Singh",Accept (Poster)
53,"Jun-Ting Hsieh, Shengjia Zhao, Stephan Eismann, Lucia Mirabella, Stefano Ermon",Accept (Poster)
54,"Marc Law, Jake Snell, Amir-massoud Farahmand, Raquel Urtasun, Richard Zemel",Accept (Poster)
55,"Chuanbiao Song, Kun He, Liwei Wang, John Hopcroft",Accept (Poster)
56,"Ping Luo, Xinjiang Wang, Wenqi Shao, Zhanglin Peng",Accept (Poster)
57,"Ping Luo, Jiamin Ren, Zhanglin Peng, Ruimao Zhang, Jingyu Li",Accept (Poster)
58,"Tingwu Wang, Yuhao Zhou, Sanja Fidler, Jimmy Ba",Accept (Poster)
59,"Dzmitry Bahdanau, Shikhar Murty, Michael Noukhovitch, Thien Nguyen, Harm Vries, Aaron Courville",Accept (Poster)
60,"Rohin Shah, Dmitrii Krasheninnikov, Jordan Alexander, Pieter Abbeel, Anca Dragan",Accept (Poster)
61,"Yunzhu Li, Jiajun Wu, Russ Tedrake, Joshua Tenenbaum, Antonio Torralba",Accept (Poster)
62,"Stanisław Jastrzębski, Zachary Kenton, Nicolas Ballas, Asja Fischer, Yoshua Bengio, Amos Storkey",Accept (Poster)
63,"Gauthier Gidel, Hugo Berard, Gaëtan Vignoud, Pascal Vincent, Simon Lacoste-Julien",Accept (Poster)
64,"Chen-Yu Hsu, Piotr Indyk, Dina Katabi, Ali Vakilian",Accept (Poster)
65,"Frederic Runge, Danny Stoll, Stefan Falkner, Frank Hutter",Accept (Poster)
66,"Jianbo Chen, Le Song, Martin Wainwright, Michael Jordan",Accept (Poster)
67,"Navid Azizan, Babak Hassibi",Accept (Poster)
68,"Gagandeep Singh, Timon Gehr, Markus Püschel, Martin Vechev",Accept (Poster)
69,"Wesley Chung, Somjit Nath, Ajin Joseph, Martha White",Accept (Poster)
70,"Michael Lutter, Christian Ritter, Jan Peters",Accept (Poster)
71,"Wei Wang, Yuan Sun, Saman Halgamuge",Accept (Poster)
72,"Dan Hendrycks, Mantas Mazeika, Thomas Dietterich",Accept (Poster)
73,"Karol Gregor, George Papamakarios, Frederic Besse, Lars Buesing, Theophane Weber",Accept (Oral)
74,"Andrei Rusu, Dushyant Rao, Jakub Sygnowski, Oriol Vinyals, Razvan Pascanu, Simon Osindero, Raia Hadsell",Accept (Poster)
75,"Peiyun Hu, Zachary Lipton, Anima Anandkumar, Deva Ramanan",Accept (Poster)
76,"Noam Mor, Lior Wolf, Adam Polyak, Yaniv Taigman",Accept (Poster)
77,"Minhao Cheng, Thong Le, Pin-Yu Chen, Huan Zhang, JinFeng Yi, Cho-Jui Hsieh",Accept (Poster)
78,"Rajarshi Das, Shehzaad Dhuliawala, Manzil Zaheer, Andrew McCallum",Accept (Poster)
79,"David Saxton, Edward Grefenstette, Felix Hill, Pushmeet Kohli",Accept (Poster)
80,"Yonatan Geifman, Guy Uziel, Ran El-Yaniv",Accept (Poster)
81,"Andrei Atanov, Arsenii Ashukha, Kirill Struminsky, Dmitriy Vetrov, Max Welling",Accept (Poster)
82,"Hao-Yun Chen, Pei-Hsin Wang, Chun-Hao Liu, Shih-Chieh Chang, Jia-Yu Pan, Yu-Ting Chen, Wei Wei, Da-Cheng Juan",Accept (Poster)
83,"Yunbo Wang, Lu Jiang, Ming-Hsuan Yang, Li-Jia Li, Mingsheng Long, Li Fei-Fei",Accept (Poster)
84,"Bin Dai, David Wipf",Accept (Poster)
85,"Shiv Shankar, Sunita Sarawagi",Accept (Poster)
86,"Rajarshi Das, Tsendsuren Munkhdalai, Xingdi Yuan, Adam Trischler, Andrew McCallum",Accept (Poster)
87,"Andrew Lampinen, Surya Ganguli",Accept (Poster)
88,"Min Liu, Fupin Yao, Chiho Choi, Ayan Sinha, Karthik Ramani",Accept (Poster)
89,"Liqian Ma, Xu Jia, Stamatios Georgoulis, Tinne Tuytelaars, Luc Gool",Accept (Poster)
90,"Hongyi Zhang, Yann Dauphin, Tengyu Ma",Accept (Poster)
91,"Zhang Xinyi, Lihui Chen",Accept (Poster)
92,"Matthew Mackay, Paul Vicol, Jonathan Lorraine, David Duvenaud, Roger Grosse",Accept (Poster)
93,"Felix Hill, Adam Santoro, David Barrett, Ari Morcos, Timothy Lillicrap",Accept (Poster)
94,"Sunghoon Im, Hae-Gon Jeon, Stephen Lin, In Kweon",Accept (Poster)
95,"Tianmin Shu, Yuandong Tian",Accept (Poster)
96,"Takayuki Osa, Voot Tangkaratt, Masashi Sugiyama",Accept (Poster)
97,"Yi Chen, Jinglin Chen, Jing Dong, Jian Peng, Zhaoran Wang",Accept (Poster)
98,"Liqun Chen, Yizhe Zhang, Ruiyi Zhang, Chenyang Tao, Zhe Gan, Haichao Zhang, Bai Li, Dinghan Shen, Changyou Chen, Lawrence Carin",Accept (Poster)
99,"Wenpeng Hu, Zhou Lin, Bing Liu, Chongyang Tao, Zhengwei Tao, Jinwen Ma, Dongyan Zhao, Rui Yan",Accept (Poster)
100,"Tiago Ramalho, Marta Garnelo",Accept (Poster)
101,"Greg Yang, Jeffrey Pennington, Vinay Rao, Jascha Sohl-Dickstein, Samuel Schoenholz",Accept (Poster)
102,"Zhuang Liu, Mingjie Sun, Tinghui Zhou, Gao Huang, Trevor Darrell",Accept (Poster)
103,"Dan Hendrycks, Thomas Dietterich",Accept (Poster)
104,"Mostafa Dehghani, Stephan Gouws, Oriol Vinyals, Jakob Uszkoreit, Lukasz Kaiser",Accept (Poster)
105,"Zhuolin Yang, Bo Li, Pin-Yu Chen, Dawn Song",Accept (Poster)
106,"Jongwook Choi, Yijie Guo, Marcin Moczulski, Junhyuk Oh, Neal Wu, Mohammad Norouzi, Honglak Lee",Accept (Poster)
107,"Wei Yang, Xiaolong Wang, Ali Farhadi, Abhinav Gupta, Roozbeh Mottaghi",Accept (Poster)
108,"Haoming Jiang, Zhehui Chen, Minshuo Chen, Feng Liu, Dingding Wang, Tuo Zhao",Accept (Poster)
109,"Frederic Koehler, Andrej Risteski",Accept (Poster)
110,"Jonathan Frankle, Michael Carbin",Accept (Oral)
111,"David Berthelot, Colin Raffel, Aurko Roy, Ian Goodfellow",Accept (Poster)
112,"Pedro Savarese, Michael Maire",Accept (Poster)
113,"Qi Meng, Shuxin Zheng, Huishuai Zhang, Wei Chen, Qiwei Ye, Zhi-Ming Ma, Nenghai Yu, Tie-Yan Liu",Accept (Poster)
114,"Yi Zhou, Junjie Yang, Huishuai Zhang, Yingbin Liang, Vahid Tarokh",Accept (Poster)
115,"Seil Na, Yo Choe, Dong-Hyun Lee, Gunhee Kim",Accept (Poster)
116,"Renjie Liao, Zhizhen Zhao, Raquel Urtasun, Richard Zemel",Accept (Poster)
117,"Xiang Jiang, Mohammad Havaei, Farshid Varno, Gabriel Chartrand, Nicolas Chapados, Stan Matwin",Accept (Poster)
118,"Eirikur Agustsson, Alexander Sage, Radu Timofte, Luc Gool",Accept (Poster)
119,"Yuan Yuan, Yueming Lyu, Xi Shen, Ivor Tsang, Dit-Yan Yeung",Accept (Poster)
120,"Johannes Klicpera, Aleksandar Bojchevski, Stephan Günnemann",Accept (Poster)
121,"Hongzi Mao, Shaileshh Venkatakrishnan, Malte Schwarzkopf, Mohammad Alizadeh",Accept (Poster)
122,"Yuping Luo, Huazhe Xu, Yuanzhi Li, Yuandong Tian, Trevor Darrell, Tengyu Ma",Accept (Poster)
123,"Walid Krichene, Nicolas Mayoraz, Steffen Rendle, Li Zhang, Xinyang Yi, Lichan Hong, Ed Chi, John Anderson",Accept (Poster)
124,"Joshua Michalenko, Ameesh Shah, Abhinav Verma, Richard Baraniuk, Swarat Chaudhuri, Ankit Patel",Accept (Poster)
125,"Justin Fu, Anoop Korattikara, Sergey Levine, Sergio Guadarrama",Accept (Poster)
126,"Masahiro Kato, Takeshi Teshima, Junya Honda",Accept (Poster)
127,"Xitong Gao, Yiren Zhao, Łukasz Dudziak, Robert Mullins, Cheng-zhong Xu",Accept (Poster)
128,"Tue Le, Tuan Nguyen, Trung Le, Dinh Phung, Paul Montague, Olivier Vel, Lizhen Qu",Accept (Poster)
129,"Andrew Brock, Jeff Donahue, Karen Simonyan",Accept (Oral)
130,"Tao Chen, Saurabh Gupta, Abhinav Gupta",Accept (Poster)
131,"Jiawei He, Yu Gong, Joseph Marino, Greg Mori, Andreas Lehrmann",Accept (Poster)
132,"Thomas Elsken, Jan Metzen, Frank Hutter",Accept (Poster)
133,"Sachin Ravi, Alex Beatson",Accept (Poster)
134,"Antreas Antoniou, Harrison Edwards, Amos Storkey",Accept (Poster)
135,"Xiaoshuai Zhang, Yiping Lu, Jiaying Liu, Bin Dong",Accept (Poster)
136,"Nataniel Ruiz, Samuel Schulter, Manmohan Chandraker",Accept (Poster)
137,"Ian Tenney, Patrick Xia, Berlin Chen, Alex Wang, Adam Poliak, R McCoy, Najoung Kim, Benjamin Durme, Samuel Bowman, Dipanjan Das, Ellie Pavlick",Accept (Poster)
